OBJECTID,the_geom,Name,Borough
33,POINT (-73.86629918075617 40.84360847124722),Van Nest,Bronx
34,POINT (-73.85040178030428 40.84754906353638),Morris Park,Bronx
35,POINT (-73.88845196134812 40.85727710073898),Belmont,Bronx
36,POINT (-73.917190482104 40.8813949772709),Spuyten Duyvil,Bronx
37,POINT (-73.90453054908934 40.9085428295067),North Riverdale,Bronx
38,POINT (-73.83207378240478 40.85064140940339),Pelham Bay,Bronx
39,POINT (-73.82620275994081 40.82657951686926),Schuylerville,Bronx
40,POINT (-73.81388514428627 40.82198611816354),Edgewater Park,Bronx
41,POINT (-73.84802729582742 40.81901437698835),Castle Hill,Bronx
42,POINT (-73.86332361652784 40.87137078192375),Olinville,Bronx
43,POINT (-73.8416119483123 40.862965624780024),Pelham Gardens,Bronx
44,POINT (-73.91558941773451 40.834283807338544),Concourse,Bronx
45,POINT (-73.85053524451942 40.82977429787165),Unionport,Bronx
46,POINT (-73.84808271877175 40.88456130303736),Edenwald,Bronx
47,POINT (-74.03062069353821 40.62580106501069),Bay Ridge,Brooklyn
48,POINT (-73.99517998380736 40.61100890202048),Bensonhurst,Brooklyn
49,POINT (-74.01031618527792 40.64510294925433),Sunset Park,Brooklyn
50,POINT (-73.954240931274 40.730200984864744),Greenpoint,Brooklyn
51,POINT (-73.97347087708452 40.59526001306597),Gravesend,Brooklyn
52,POINT (-73.96509448785343 40.576825065666085),Brighton Beach,Brooklyn
53,POINT (-73.94318640482987 40.58689012678388),Sheepshead Bay,Brooklyn
54,POINT (-73.95743840559946 40.61443251335102),Manhattan Terrace,Brooklyn
55,POINT (-73.95840106533912 40.63632589026681),Flatbush,Brooklyn
56,POINT (-73.9432911907359 40.67082917695298),Crown Heights,Brooklyn
57,POINT (-73.93610256185843 40.64171776668965),East Flatbush,Brooklyn
58,POINT (-73.98042110559481 40.64238195800357),Kensington,Brooklyn
59,POINT (-73.98007340430179 40.65694583575108),Windsor Terrace,Brooklyn
60,POINT (-73.96485924262697 40.67682226225477),Prospect Heights,Brooklyn
61,POINT (-73.91023536176615 40.66394994339758),Brownsville,Brooklyn
62,POINT (-73.95811529220936 40.70714439344255),Williamsburg,Brooklyn
63,POINT (-73.92525797487053 40.69811611017905),Bushwick,Brooklyn
64,POINT (-73.94178488690304 40.6872316077205),Bedford Stuyvesant,Brooklyn
65,POINT (-73.99378225496432 40.69586372272413),Brooklyn Heights,Brooklyn
66,POINT (-73.9985613921847 40.68791972248561),Cobble Hill,Brooklyn
67,POINT (-74.00037274122076 40.68213188564184),Carroll Gardens,Brooklyn
68,POINT (-74.01275897473568 40.67625323025092),Red Hook,Brooklyn
69,POINT (-73.99444087145346 40.6739311431872),Gowanus,Brooklyn
70,POINT (-73.97290574369099 40.688527260189815),Fort Greene,Brooklyn
71,POINT (-73.97705030183931 40.672320522682014),Park Slope,Brooklyn
72,POINT (-73.87583132262635 40.6846357939163),Cypress Hills,Brooklyn
73,POINT (-73.88069863917373 40.66992570084708),East New York,Brooklyn
74,POINT (-73.87936970045882 40.64758905230878),Starrett City,Brooklyn
75,POINT (-73.90209269778973 40.63556432797432),Canarsie,Brooklyn
76,POINT (-73.92911302644681 40.6304460437575),Flatlands,Brooklyn
77,POINT (-73.90818571777432 40.60633642168567),Mill Island,Brooklyn
78,POINT (-73.94353722891894 40.57791350308661),Manhattan Beach,Brooklyn
79,POINT (-73.98868295821644 40.57429256471605),Coney Island,Brooklyn
80,POINT (-73.99875221443526 40.599518702822415),Bath Beach,Brooklyn
81,POINT (-73.99049823044818 40.63313051275805),Borough Park,Brooklyn
82,POINT (-74.01931375636029 40.61921945772268),Dyker Heights,Brooklyn
83,POINT (-73.93010170691203 40.59084843390208),Gerritsen Beach,Brooklyn
84,POINT (-73.93134404108504 40.60974777989464),Marine Park,Brooklyn
85,POINT (-73.96784306216374 40.69322942188155),Clinton Hill,Brooklyn
86,POINT (-74.00787311200247 40.576375378902284),Sea Gate,Brooklyn
87,POINT (-73.98346337431106 40.69084402109806),Downtown,Brooklyn
88,POINT (-73.98357724689187 40.687241380657376),Boerum Hill,Brooklyn
89,POINT (-73.9548986707772 40.65842001746986),Prospect Lefferts Gardens,Brooklyn
90,POINT (-73.91306831787404 40.6784025547954),Ocean Hill,Brooklyn
91,POINT (-73.86797598081343 40.678569957274824),City Line,Brooklyn
92,POINT (-73.89855633630324 40.615149550453125),Bergen Beach,Brooklyn
93,POINT (-73.95759523489846 40.62559589869847),Midwood,Brooklyn
94,POINT (-73.96261316716055 40.64700860318523),Prospect Park South,Brooklyn
95,POINT (-73.91607483951331 40.623845244784235),Georgetown,Brooklyn
96,POINT (-73.86998779106547 40.65713927658277),Spring Creek,Brooklyn
97,POINT (-73.93885815269203 40.70849241041552),East Williamsburg,Brooklyn
98,POINT (-73.95880857587589 40.714822906532056),North Side,Brooklyn
99,POINT (-73.95800095153338 40.710861472650684),South Side,Brooklyn
100,POINT (-73.97164435527614 40.698790872180545),Navy Yard,Brooklyn
101,POINT (-73.96836678035548 40.61305976667946),Ocean Parkway,Brooklyn
102,POINT (-74.0319791453799 40.6147681269423),Fort Hamilton,Brooklyn
103,POINT (-73.99427936255985 40.715618422314364),Chinatown,Manhattan
104,POINT (-73.93690027985242 40.85190252555309),Washington Heights,Manhattan
105,POINT (-73.92121042203905 40.86768396449919),Inwood,Manhattan
106,POINT (-73.94968791883373 40.82360428481197),Hamilton Heights,Manhattan
107,POINT (-73.95738539351888 40.81693442949784),Manhattanville,Manhattan
108,POINT (-73.94321112603912 40.81597606742418),Central Harlem,Manhattan
109,POINT (-73.94418223148531 40.79224946663037),East Harlem,Manhattan
110,POINT (-73.96050763135007 40.77563857330185),Upper East Side,Manhattan
111,POINT (-73.94711784471833 40.77592984988492),Yorkville,Manhattan
112,POINT (-73.95885968813766 40.76811265828737),Lenox Hill,Manhattan
113,POINT (-73.9494705736962 40.762403730702246),Roosevelt Island,Manhattan
114,POINT (-73.9770592363061 40.7876579985349),Upper West Side,Manhattan
115,POINT (-73.9853377700127 40.773528889421705),Lincoln Square,Manhattan
116,POINT (-73.99640768221386 40.758333686906404),Clinton,Manhattan
117,POINT (-73.98166882730311 40.75469110270627),Midtown,Manhattan
118,POINT (-73.97833207924134 40.74830307725222),Murray Hill,Manhattan
119,POINT (-74.0031163347282 40.74403470674802),Chelsea,Manhattan
120,POINT (-73.99991402945909 40.72693288536132),Greenwich Village,Manhattan
121,POINT (-73.98222616506425 40.72784677727029),East Village,Manhattan
122,POINT (-73.98089031999298 40.71780674892769),Lower East Side,Manhattan
123,POINT (-74.01068328559094 40.72152196744325),Tribeca,Manhattan
124,POINT (-73.9973046720808 40.71932379395911),Little Italy,Manhattan
125,POINT (-74.00065666959766 40.72218384131798),Soho,Manhattan
126,POINT (-74.00617998126819 40.734433935724375),West Village,Manhattan
127,POINT (-73.96428617740662 40.7973070417029),Manhattan Valley,Manhattan
128,POINT (-73.96389627905339 40.80799973816586),Morningside Heights,Manhattan
129,POINT (-73.98137594833548 40.737209832715045),Gramercy,Manhattan
130,POINT (-74.01686930508625 40.71193198394569),Battery Park City,Manhattan
131,POINT (-74.01066544521277 40.70710710727052),Financial District,Manhattan
132,POINT (-73.91565374304241 40.768508593354966),Astoria,Queens
133,POINT (-73.90184166838291 40.746349088602265),Woodside,Queens
134,POINT (-73.88282109164372 40.751981380073715),Jackson Heights,Queens
135,POINT (-73.88165622288396 40.744048505122066),Elmhurst,Queens
136,POINT (-73.83813764600289 40.6542252773849),Howard Beach,Queens
137,POINT (-73.85682497345266 40.7423817501567),South Corona,Queens
138,POINT (-73.8444750078899 40.725263782165065),Forest Hills,Queens
139,POINT (-73.8298190582571 40.705179035414844),Kew Gardens,Queens
140,POINT (-73.83183321446894 40.69794731471767),Richmond Hill,Queens
141,POINT (-73.82936758711861 40.76116362081876),Downtown Flushing,Queens
142,POINT (-73.93920223915512 40.75021734610532),Long Island City,Queens
143,POINT (-73.92691617561584 40.74017628351928),Sunnyside,Queens
144,POINT (-73.86704147658779 40.764073238830946),East Elmhurst,Queens
145,POINT (-73.89621713626867 40.72542737409365),Maspeth,Queens
146,POINT (-73.90143517559596 40.70832315613862),Ridgewood,Queens
147,POINT (-73.87074167435614 40.702762429678415),Glendale,Queens
148,POINT (-73.85782686905377 40.72897409480739),Rego Park,Queens
149,POINT (-73.85811046554328 40.689886879157925),Woodhaven,Queens
150,POINT (-73.84320266173454 40.68070846826546),Ozone Park,Queens
151,POINT (-73.80986478649048 40.66854957767199),South Ozone Park,Queens
152,POINT (-73.84304528896132 40.78490274926025),College Point,Queens
153,POINT (-73.8142021661087 40.781290766026984),Whitestone,Queens
154,POINT (-73.77427363068676 40.76604063281068),Bayside,Queens
155,POINT (-73.79176243728068 40.761729549032665),Auburndale,Queens
156,POINT (-73.73889775580747 40.77082619282674),Little Neck,Queens
157,POINT (-73.74249820727337 40.766846097907674),Douglaston,Queens
158,POINT (-73.71548118999152 40.74944079974336),Glen Oaks,Queens
159,POINT (-73.7201281482691 40.72857318176679),Bellerose,Queens
160,POINT (-73.82087764933573 40.72257824422808),Kew Gardens Hills,Queens
161,POINT (-73.78271337003271 40.734394465331334),Fresh Meadows,Queens
162,POINT (-73.81174822458641 40.710935472522756),Briarwood,Queens
163,POINT (-73.79690165888296 40.704657360687214),Jamaica Center,Queens
164,POINT (-73.75494976234339 40.74561857141858),Oakland Gardens,Queens
165,POINT (-73.73871484578433 40.7188930921674),Queens Village,Queens
166,POINT (-73.75925009335602 40.71124344191908),Hollis,Queens
167,POINT (-73.79042613135549 40.69691125378992),South Jamaica,Queens
168,POINT (-73.75867603727725 40.69444538522363),St. Albans,Queens
169,POINT (-73.77258787620913 40.675211395917366),Rochdale,Queens
170,POINT (-73.76042092682295 40.666230490368626),Springfield Gardens,Queens
171,POINT (-73.73526873708033 40.69277463916089),Cambria Heights,Queens
172,POINT (-73.73526079428285 40.65981643342812),Rosedale,Queens
173,POINT (-73.7549796804388 40.60313443250093),Far Rockaway,Queens
174,POINT (-73.82005489110327 40.603026583512424),Broad Channel,Queens
175,POINT (-73.92551196994177 40.557401288454564),Breezy Point,Queens
176,POINT (-73.90228960391681 40.77592301564293),Steinway,Queens
177,POINT (-73.80436451720996 40.792781403600515),Beechhurst,Queens
178,POINT (-73.77680222621588 40.7828428062456),Bay Terrace,Queens
179,POINT (-73.77613282391712 40.59564180736854),Edgemere,Queens
180,POINT (-73.7919923313695 40.58914394372975),Arverne,Queens
181,POINT (-73.82236121088758 40.58280169684563),Seaside,Queens
182,POINT (-73.85754672410836 40.57203673021705),Neponsit,Queens
183,POINT (-73.81276269135873 40.7641261226141),Murray Hill,Queens
184,POINT (-73.70884705889253 40.74137842194548),Floral Park,Queens
185,POINT (-73.76714166714736 40.720957207644446),Holliswood,Queens
186,POINT (-73.78722696936667 40.716804830146174),Jamaica Estates,Queens
187,POINT (-73.82580915110566 40.744572309286745),Queensboro Hill,Queens
188,POINT (-73.79760300912679 40.72382490182924),Hillcrest,Queens
189,POINT (-73.93157506072886 40.76170452605419),Ravenswood,Queens
190,POINT (-73.84963782402448 40.66391841925143),Lindenwood,Queens
191,POINT (-73.74025607989829 40.667883896602504),Laurelton,Queens
192,POINT (-73.86252471413746 40.73607457083084),Lefrak City,Queens
193,POINT (-73.85401750392529 40.57615556543113),Belle Harbor,Queens
194,POINT (-73.84153370226193 40.58034295646135),Rockaway Park,Queens
195,POINT (-73.79664750844056 40.59771061565772),Somerville,Queens
196,POINT (-73.7517531073116 40.66000322733616),Brookville,Queens
197,POINT (-73.73889198912488 40.73301404027838),Bellaire,Queens
198,POINT (-73.85751790676454 40.75407099904894),North Corona,Queens
199,POINT (-73.84102211234017 40.71461108151174),Forest Hills Gardens,Queens
200,POINT (-74.07935312512804 40.64498157100444),St. George,Staten Island
201,POINT (-74.08701650516633 40.64061455913515),New Brighton,Staten Island
202,POINT (-74.07790192660073 40.6269276253818),Stapleton,Staten Island
203,POINT (-74.06980526716148 40.61530494652765),Rosebank,Staten Island
204,POINT (-74.10718178265617 40.63187892654611),West Brighton,Staten Island
205,POINT (-74.08724819983736 40.62418479131304),Grymes Hill,Staten Island
206,POINT (-74.11132881800887 40.59706851814676),Todt Hill,Staten Island
207,POINT (-74.07955292539827 40.5802474135096),South Beach,Staten Island
208,POINT (-74.12943426797015 40.63366930554369),Port Richmond,Staten Island
209,POINT (-74.15008537046988 40.63254639048117),Mariner's Harbor,Staten Island
210,POINT (-74.17464532993549 40.63968297845546),Port Ivory,Staten Island
211,POINT (-74.1191805853485 40.613335937667465),Castleton Corners,Staten Island
212,POINT (-74.16496031329834 40.59425237916174),New Springville,Staten Island
213,POINT (-74.19073717538123 40.58631375103285),Travis,Staten Island
214,POINT (-74.11647943606387 40.57257231820636),New Dorp,Staten Island
215,POINT (-74.12156593771904 40.558462243288844),Oakwood,Staten Island
216,POINT (-74.14932381490999 40.54948022871365),Great Kills,Staten Island
217,POINT (-74.16433080419367 40.54223074745079),Eltingville,Staten Island
218,POINT (-74.17854866165885 40.538114174745104),Annadale,Staten Island
219,POINT (-74.22135055371616 40.53745265012707),Woodrow,Staten Island
220,POINT (-74.24656934235291 40.505333761156464),Tottenville,Staten Island
221,POINT (-74.08055351790122 40.63731606711036),Tompkinsville,Staten Island
222,POINT (-74.09629029235465 40.619193107926804),Silver Lake,Staten Island
223,POINT (-74.09712552178537 40.612760157564935),Sunnyside,Staten Island
224,POINT (-73.96101312466787 40.64367518334101),Ditmas Park,Brooklyn
225,POINT (-73.93718680559321 40.660946561881154),Wingate,Brooklyn
226,POINT (-73.92688212616963 40.65557231328081),Rugby,Brooklyn
227,POINT (-74.08015734936303 40.60919044434562),Park Hill,Staten Island
228,POINT (-74.13304143951713 40.62109047275413),Westerleigh,Staten Island
229,POINT (-74.1531524638777 40.62017151223193),Graniteville,Staten Island
230,POINT (-74.16510420241131 40.63532509911496),Arlington,Staten Island
231,POINT (-74.06712363225581 40.596312571276776),Arrochar,Staten Island
232,POINT (-74.07667436279057 40.59826835959995),Grasmere,Staten Island
233,POINT (-74.08751118005587 40.596328913795176),Old Town,Staten Island
234,POINT (-74.09639905312528 40.58867294819932),Dongan Hills,Staten Island
235,POINT (-74.09348266303599 40.573526905742874),Midland Beach,Staten Island
236,POINT (-74.10585598545441 40.57621558711792),Grant City,Staten Island
237,POINT (-74.10432707469131 40.56425549307338),New Dorp Beach,Staten Island
238,POINT (-74.13916622175775 40.55398800858466),Bay Terrace,Staten Island
239,POINT (-74.19174105747821 40.53191192048964),Huguenot,Staten Island
240,POINT (-74.21983106616784 40.52469937611818),Pleasant Plains,Staten Island
241,POINT (-74.22950350260034 40.506081653463085),Butler Manor,Staten Island
242,POINT (-74.23215775896533 40.530531482833176),Charleston,Staten Island
243,POINT (-74.21572851113959 40.549404006500765),Rossville,Staten Island
244,POINT (-74.185886745839 40.549285822783254),Arden Heights,Staten Island
245,POINT (-74.19150620964295 40.559712496342954),Greenridge,Staten Island
246,POINT (-74.15902208156608 40.589138948752854),Heartland Village,Staten Island
247,POINT (-74.18956045519697 40.59472602746298),Chelsea,Staten Island
248,POINT (-74.18725638381574 40.60577868452362),Bloomfield,Staten Island
249,POINT (-74.15940948657129 40.60959180042034),Bulls Head,Staten Island
250,POINT (-73.95325646837121 40.78268256712574),Carnegie Hill,Manhattan
251,POINT (-73.98843368023604 40.72325901885772),Noho,Manhattan
252,POINT (-74.00541529873362 40.715228920462856),Civic Center,Manhattan
253,POINT (-73.98871313285254 40.748509664312245),Midtown South,Manhattan
254,POINT (-74.13405729862578 40.56960594275509),Richmond Town,Staten Island
255,POINT (-74.06667766061778 40.609719340792886),Shore Acres,Staten Island
256,POINT (-74.07264244548406 40.61917845202847),Clifton,Staten Island
257,POINT (-74.08402364740365 40.604473189687944),Concord,Staten Island
258,POINT (-74.09776206972529 40.606794394801035),Emerson Hill,Staten Island
259,POINT (-74.09805062373894 40.63563000681155),Randall Manor,Staten Island
260,POINT (-74.1862233174983 40.638432837947995),Howland Hook,Staten Island
261,POINT (-74.14181678968897 40.63014674119387),Elm Park,Staten Island
262,POINT (-73.91665331978055 40.65211745179353),Remsen Village,Brooklyn
263,POINT (-73.885117763793 40.66274427969663),New Lots,Brooklyn
264,POINT (-73.90233474295843 40.63131755039671),Paerdegat Basin,Brooklyn
265,POINT (-73.9151539155041 40.615974239623405),Mill Basin,Brooklyn
266,POINT (-73.796464620816 40.71145964370486),Jamaica Hills,Queens
267,POINT (-73.79671678028357 40.7335002542976),Utopia,Queens
268,POINT (-73.80486120040544 40.73493618075482),Pomonok,Queens
269,POINT (-73.89467996270581 40.770317392998244),Astoria Heights,Queens
270,POINT (-73.90119903387674 40.83142834161551),Claremont Village,Bronx
271,POINT (-73.91584652759016 40.82478049084294),Concourse Village,Bronx
272,POINT (-73.91655551964426 40.843826176716576),Mount Eden,Bronx
273,POINT (-73.90829930881995 40.84884160724669),Mount Hope,Bronx
274,POINT (-73.9635561409431 40.76028033131378),Sutton Place,Manhattan
275,POINT (-73.95386782130753 40.74341409007358),Hunters Point,Queens
276,POINT (-73.96770824581843 40.75204236950726),Turtle Bay,Manhattan
277,POINT (-73.97121928722272 40.74691741074023),Tudor City,Manhattan
278,POINT (-73.9740517046921 40.73099955477065),Stuyvesant Town,Manhattan
279,POINT (-73.99094710528267 40.73967304763847),Flatiron,Manhattan
280,POINT (-73.9181928643169 40.745651806080794),Sunnyside Gardens,Queens
281,POINT (-73.93244235260185 40.73725071694501),Blissville,Queens
282,POINT (-73.99550751888422 40.70328109093018),Fulton Ferry,Brooklyn
283,POINT (-73.981116035924 40.703321498828785),Vinegar Hill,Brooklyn
284,POINT (-73.93053108817347 40.67503986503241),Weeksville,Brooklyn
285,POINT (-73.90331684852606 40.67786104769535),Broadway Junction,Brooklyn
286,POINT (-73.98875280745047 40.70317632822696),Dumbo,Brooklyn
287,POINT (-74.12059399718008 40.60180957631448),Manor Heights,Staten Island
288,POINT (-74.13208447484305 40.60370692627375),Willowbrook,Staten Island
289,POINT (-74.21776636068574 40.5411399220918),Sandy Ground,Staten Island
290,POINT (-74.12727240604953 40.579118742961256),Egbertville,Staten Island
291,POINT (-73.89213760232829 40.567375889570364),Roxbury,Queens
292,POINT (-73.9591845942871 40.59852509513729),Homecrest,Brooklyn
293,POINT (-73.8811431920061 40.71641451115823),Middle Village,Queens
294,POINT (-74.20152556457666 40.526264067348166),Prince's Bay,Staten Island
295,POINT (-74.13792663771576 40.576506293794935),Lighthouse Hill,Staten Island
296,POINT (-74.22957080626948 40.519541457489126),Richmond Valley,Staten Island
297,POINT (-73.8266775713865 40.790601556701525),Malba,Queens
298,POINT (-73.8902809854761 40.68248551101694),Highland Park,Brooklyn
299,POINT (-73.948415153289 40.609377701137696),Madison,Brooklyn
